gene,papillary 1,reticular 1, papillary 2, reticular 2, papillary 3, reticular 3
A1BG,0.0610522141645,0.086545789624,0.181470567688,0.0486154528509,0.0986628152139,0.0581175214747
A1BG-AS1,0.165894394368,0.171970998574,0.126114944755,0.0515332804123,0.124163919912,0.0232451402097
A1CF,0.000377352206329,0.0128041113663,0.0563852212021,0.043971156362,0.00424609844316,0.0288593556418
A2M,31.0460269303,22.0576323617,13.5757228153,19.3115160902,14.2008092313,10.4482628103
A2M-AS1,1.0773905809,0.881992948759,0.581282169874,0.685599544523,0.650867959132,0.490992209004
A2ML1,0.0608880065646,0.106034353083,0.613083093716,0.872198341691,0.258287588712,0.422991976296
A2MP1,0.0671051391377,0.0933187556142,0.138954159255,0.0340904842486,0.0617915982477,0.053758983221
A3GALT2,0.021611720942,0.0111984943576,0.0190747623313,0.0112671662739,0.0374366842308,0.0
A4GALT,0.178048072086,0.131684043654,0.266313531464,0.124514889277,0.0954307000246,0.10402080588
A4GNT,0.032657299891,0.0278166369176,0.155595277747,0.089170953113,0.012386240871,0.0384120877249
AA06,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,1.75019338927,1.65477478182,1.66311929794,2.09756378105,1.67665882891,1.5864164723
AACS,0.188168841642,0.495494155346,1.04776062886,1.19880479614,0.545187502391,1.80946864784
AACSP1,0.0134438818553,0.0,0.141310252643,0.0212486445795,0.0345431715851,0.0677971953571
AADAC,0.0264941030818,0.0250440954044,0.13818908128,0.00963136330064,0.0395481470049,0.427686409683
AADACL2,0.267075617604,0.0963720300751,0.152997221838,0.477808413578,0.0604578343504,0.212025372343
AADACL2-AS1,0.063076069261,0.0321319174737,0.0564981045279,0.0168904696307,0.0562412902966,0.0672196046798
AADACL3,0.0334203627646,0.0100982566558,0.563944144447,1.59587061258,0.0443529843084,0.466220147589
AADACL4,0.0,0.0127625127556,0.142316384927,0.0168823795181,0.00111266531578,0.0176705177489
AADACP1,0.0516129650404,0.0545391906588,0.0534611992654,0.0647544474136,0.0433682704237,0.0519418469276
AADAT,0.107178386005,0.113570413683,0.0512696265366,0.0704413994138,0.0677348993676,0.0553180412666
AAED1,0.494727284575,0.254245360783,0.336043211004,0.191852776331,0.309551258515,0.213495020801
AAGAB,0.999185870645,0.857324356747,0.795535462794,1.07062103411,0.648027512534,0.98348043327
AAK1,0.0938291386485,0.195366066539,0.359013740747,0.163130132853,0.171720828344,0.110478381434
AAMDC,4.57332914528,4.16127457425,4.15914424623,3.03948626905,4.02622589894,4.4082520721
AAMP,1.6854777167,2.23990439811,2.1960073207,2.31829133855,2.41507410238,2.41177650101
AANAT,0.0,0.0918491953907,0.163624541908,0.0432428556355,0.0121489565631,0.0
AAR2,1.59019873071,1.08486324858,1.02435486642,1.77382193817,0.784672382695,0.96504878188
AARD,0.0189023798327,0.036401006051,0.0484466313852,0.0292630966931,0.0922295741275,0.167520997645
AARS,1.83554139066,2.05491560964,1.73054779247,1.56431634212,2.06006517254,1.75594791383
AARS2,0.158356381441,0.0991631683219,0.125195206971,0.242441962848,0.168436015039,0.133240648318
AARSD1,1.86006137404,1.59402378586,1.91506300258,1.38027339138,1.50255557389,0.0
AASDH,0.603949298042,0.700410547032,0.676494796781,0.472685595768,0.884556817632,0.44120350107
AASDHPPT,1.31627250408,1.22151514321,1.16396634822,1.46639283642,1.52868100203,1.76584821544
AASS,1.33174929048,1.89841599076,0.882053929093,0.703845651142,1.18129941573,0.912307295877
AATF,0.382346897631,0.639815302779,0.674429895823,0.46119861861,0.712882614935,0.0
AATK,0.0138028265784,0.00600297374648,0.0217931685181,0.00960617228939,0.0264007444538,0.0
AATK-AS1,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,0.051833608367,0.111713118098,0.329570607439,0.0779533843795,0.0858359034854,0.109185367855
ABCA1,3.4645606486,3.66466395398,2.40636886092,2.5970791232,2.69452226135,3.08937787922
ABCA10,0.222968268157,0.519748208599,0.334312375355,0.196204629524,0.346520398239,0.0
ABCA11P,1.7166470653,1.07240024008,1.27839331215,1.22137462992,1.12560546764,1.24030444373
ABCA12,0.0461079182889,0.0804531881445,0.220917902963,0.250345503774,0.107824362341,0.192093185503
ABCA13,0.0427208437226,0.0427947412782,0.28137791636,0.107183314446,0.0268642341791,0.110144123668
ABCA17P,0.0115532304643,0.00850050726816,0.362987539215,0.0189569690362,0.0294475910284,0.0433470422178
ABCA2,0.070363742602,0.0330830553139,0.087075375385,0.032298400936,0.0227891122169,0.0284242899789
ABCA3,0.0492632853069,0.0852267453927,0.213100702808,0.164218006129,0.117685243599,0.130558767279
ABCA4,0.0636289272386,0.127822796371,0.302207524861,0.489223722947,0.103692684225,0.21551296662
ABCA5,0.893078271486,0.977936136162,0.503611591079,0.802025613069,0.932530845267,0.0
ABCA6,1.18506230321,1.88559337394,0.792298914151,1.08101733732,1.04373773936,0.0
ABCA7,0.063606959372,0.0792865496103,0.158974998667,0.147680903943,0.0774948549646,0.0604016162052
ABCA8,1.32081468374,1.61744758509,1.40452317306,1.43668982492,1.55043512201,0.0
ABCA9,0.43914514356,0.481871009196,0.432000959965,0.476976373906,0.545347516957,0.0
ABCB1,1.05225116525,1.04578414635,0.41375266484,0.346961063487,0.384807351855,0.19566821839
ABCB10,0.197554877105,0.186346549435,0.239863427108,0.193828335785,0.17418811411,0.159876918074
ABCB11,0.015528032749,0.0221229762406,0.144101830319,0.0267773067589,0.0,0.0464546231745
ABCB4,0.398946395684,0.337006474513,0.495266082447,0.172480501234,0.214880254619,0.139075990254
